,city,company,country,date,expired,formattedLocation,formattedLocationFull,formattedRelativeTime,indeedApply,jobkey,jobtitle,language,onmousedown,snippet,source,sponsored,state,stations,url
34,Phoenix,Kudelski SA,US,"Tue, 09 Jan 2018 21:08:54 GMT",False,"Phoenix, AZ","Phoenix, AZ",4 days ago,False,f5eb1434c2ab5c3e,Software Engineer (Integrations),en,"indeed_clk(this,'5803');","Familiarity with or interest in Javascript, HTML, CSS, Node.js, <b>Python</b>, Go, Grunt, Gulp React, Angular, Ember or similar....",Kudelski SA,False,AZ,,http://www.indeed.com/viewjob?jk=f5eb1434c2ab5c3e&qd=kzI5tJZPkWJqoVrEwKNhYuUf1GyoJ5epwGPvrXv9tcK5ycJRMJ608P5iRe5vKKfYnX3Mn_d1sQUGgEd6p8l1qWEnnUflm_82WtmzPAYIa9s&indpubnum=8836246992678581&atk=1c3qf0rje18fp05d
35,Phoenix,Oracle,US,"Tue, 31 Oct 2017 20:49:48 GMT",False,"Phoenix, AZ","Phoenix, AZ",30+ days ago,False,030265336d865c05,Data Center Technician,en,"indeed_clk(this,'5803');","Some experience with Perl, <b>Python</b>, Bash or Java. Data Center Technician-170016V5....",Oracle,False,AZ,,http://www.indeed.com/viewjob?jk=030265336d865c05&qd=kzI5tJZPkWJqoVrEwKNhYuUf1GyoJ5epwGPvrXv9tcK5ycJRMJ608P5iRe5vKKfYnX3Mn_d1sQUGgEd6p8l1qWEnnUflm_82WtmzPAYIa9s&indpubnum=8836246992678581&atk=1c3qf0rje18fp05d
36,Scottsdale,"JDA Software Group, Inc.",US,"Thu, 26 Oct 2017 05:34:53 GMT",False,"Scottsdale, AZ","Scottsdale, AZ",30+ days ago,False,c1d6081abb3404ac,Software Engineer -Full Stack Developer,en,"indeed_clk(this,'5803');","Experience with <b>Python</b>, Java with knowledge of its ecosystems. JDA Software is the leading supply chain provider powering today’s digital transformation....","JDA Software Group, Inc.",False,AZ,,http://www.indeed.com/viewjob?jk=c1d6081abb3404ac&qd=kzI5tJZPkWJqoVrEwKNhYuUf1GyoJ5epwGPvrXv9tcK5ycJRMJ608P5iRe5vKKfYnX3Mn_d1sQUGgEd6p8l1qWEnnUflm_82WtmzPAYIa9s&indpubnum=8836246992678581&atk=1c3qf0rje18fp05d
37,Phoenix,Career Evolutions,US,"Thu, 11 Jan 2018 21:05:51 GMT",False,"Phoenix, AZ","Phoenix, AZ 85018",2 days ago,True,c10068030542be89,"Senior Software Engineer (Streaming, Cinema)",en,"indeed_clk(this,'5803');","Familiarity with or interest in JavaScript, HTML, CSS, Node.js, <b>Python</b>, Go, Grunt, Gulp React, Angular, Ember or similar....",Career Evolutions,False,AZ,,http://www.indeed.com/viewjob?jk=c10068030542be89&qd=kzI5tJZPkWJqoVrEwKNhYuUf1GyoJ5epwGPvrXv9tcK5ycJRMJ608P5iRe5vKKfYnX3Mn_d1sQUGgEd6p8l1qWEnnUflm_82WtmzPAYIa9s&indpubnum=8836246992678581&atk=1c3qf0rje18fp05d
38,Scottsdale,Southern Careers Institute,US,"Sat, 04 Nov 2017 02:22:13 GMT",False,"Scottsdale, AZ","Scottsdale, AZ",30+ days ago,False,749acce8989da402,Web Developer Mentor,en,"indeed_clk(this,'5803');","Java, C#, Ruby, <b>Python</b>, JavaScript (Node); Under the direction of the Director of Education, the Web Developer Mentor will be responsible for academic support,...",Southern Careers Institute,False,AZ,,http://www.indeed.com/viewjob?jk=749acce8989da402&qd=kzI5tJZPkWJqoVrEwKNhYuUf1GyoJ5epwGPvrXv9tcK5ycJRMJ608P5iRe5vKKfYnX3Mn_d1sQUGgEd6p8l1qWEnnUflm_82WtmzPAYIa9s&indpubnum=8836246992678581&atk=1c3qf0rje18fp05d
39,Tempe,Neudesic LLC,US,"Wed, 08 Nov 2017 05:02:24 GMT",False,"Tempe, AZ","Tempe, AZ 85281",30+ days ago,False,40750c0718edb7c9,Data Scientist - Predictive Enterprise,en,"indeed_clk(this,'5803');",This role requires advanced expertise in Machine Learning tools and programming languages like R and <b>Python</b>....,Neudesic LLC,False,AZ,,http://www.indeed.com/viewjob?jk=40750c0718edb7c9&qd=kzI5tJZPkWJqoVrEwKNhYuUf1GyoJ5epwGPvrXv9tcK5ycJRMJ608P5iRe5vKKfYnX3Mn_d1sQUGgEd6p8l1qWEnnUflm_82WtmzPAYIa9s&indpubnum=8836246992678581&atk=1c3qf0rje18fp05d
40,Scottsdale,Southern Careers Institute,US,"Sat, 04 Nov 2017 02:22:00 GMT",False,"Scottsdale, AZ","Scottsdale, AZ",30+ days ago,False,cdbe3bcc3079109c,Data Science Mentor,en,"indeed_clk(this,'5803');","Programming with <b>Python</b>, R; Under the direction of the Director of Education, the Data Science Mentor will be responsible for academic support, curriculum...",Southern Careers Institute,False,AZ,,http://www.indeed.com/viewjob?jk=cdbe3bcc3079109c&qd=kzI5tJZPkWJqoVrEwKNhYuUf1GyoJ5epwGPvrXv9tcK5ycJRMJ608P5iRe5vKKfYnX3Mn_d1sQUGgEd6p8l1qWEnnUflm_82WtmzPAYIa9s&indpubnum=8836246992678581&atk=1c3qf0rje18fp05d
41,Phoenix,AT&T,US,"Sat, 11 Nov 2017 18:12:34 GMT",False,"Phoenix, AZ","Phoenix, AZ",30+ days ago,False,35ca7532d0c9f1d7,Cybersecurity Consultant 3 - Secure Infrastructure Services,en,"indeed_clk(this,'5803');","Ability to write customized scripts using at least two of bash, Perl, PHP, <b>Python</b> preferred. AT&amp;T Security Solutions is a division of AT&amp;T (a Fortune Global Top...",AT&T,False,AZ,,http://www.indeed.com/viewjob?jk=35ca7532d0c9f1d7&qd=kzI5tJZPkWJqoVrEwKNhYuUf1GyoJ5epwGPvrXv9tcK5ycJRMJ608P5iRe5vKKfYnX3Mn_d1sQUGgEd6p8l1qWEnnUflm_82WtmzPAYIa9s&indpubnum=8836246992678581&atk=1c3qf0rje18fp05d
42,Phoenix,American Express,US,"Wed, 06 Dec 2017 07:57:52 GMT",False,"Phoenix, AZ","Phoenix, AZ",30+ days ago,False,c1f9208f9e5c7dd9,Sr Infrastructure Engineer - Network Automation & Operational Intelligence,en,"indeed_clk(this,'5803');","Demonstrated expertise in a programming language such as <b>Python</b>, .NET, Java. The Network Automation &amp; Operational Intelligence team is seeking a Senior...",American Express,False,AZ,,http://www.indeed.com/viewjob?jk=c1f9208f9e5c7dd9&qd=kzI5tJZPkWJqoVrEwKNhYuUf1GyoJ5epwGPvrXv9tcK5ycJRMJ608P5iRe5vKKfYnX3Mn_d1sQUGgEd6p8l1qWEnnUflm_82WtmzPAYIa9s&indpubnum=8836246992678581&atk=1c3qf0rje18fp05d
43,Phoenix,Uber,US,"Wed, 27 Sep 2017 06:06:35 GMT",False,"Phoenix, AZ","Phoenix, AZ 85004",30+ days ago,False,47710eff144a7bed,Quality Data Coordinator,en,"indeed_clk(this,'5803');",Experience with SQL or <b>Python</b> Experience presenting data visually and synthesizing data. We’re changing the way people think about transportation....,Uber,False,AZ,,http://www.indeed.com/viewjob?jk=47710eff144a7bed&qd=kzI5tJZPkWJqoVrEwKNhYuUf1GyoJ5epwGPvrXv9tcK5ycJRMJ608P5iRe5vKKfYnX3Mn_d1sQUGgEd6p8l1qWEnnUflm_82WtmzPAYIa9s&indpubnum=8836246992678581&atk=1c3qf0rje18fp05d
44,Glendale,CSAA Insurance Group,US,"Fri, 08 Dec 2017 20:42:08 GMT",False,"Glendale, AZ","Glendale, AZ",30+ days ago,False,56488cf3f590d0ce,Enterprise Analytics and Data Services Solution Architect,en,"indeed_clk(this,'5803');","<b>Python</b> and Ruby. Excellent background in Systems Architecture and Engineering, understanding of the components of software infrastructure, public Cloud (AWS),...",CSAA Insurance Group,False,AZ,,http://www.indeed.com/viewjob?jk=56488cf3f590d0ce&qd=kzI5tJZPkWJqoVrEwKNhYuUf1GyoJ5epwGPvrXv9tcK5ycJRMJ608P5iRe5vKKfYnX3Mn_d1sQUGgEd6p8l1qWEnnUflm_82WtmzPAYIa9s&indpubnum=8836246992678581&atk=1c3qf0rje18fp05d
45,Phoenix,Wells Fargo,US,"Fri, 05 Jan 2018 13:09:24 GMT",False,"Phoenix, AZ","Phoenix, AZ",9 days ago,False,bbe8836cb6be59b7,Analytic Consultant 3,en,"indeed_clk(this,'5803');","2+ years of <b>Python</b> experience. Process documentation experience Other Desired Qualifications Expertise in <b>Python</b> Libraries – a few examples, but not limited to:...",Wells Fargo,False,AZ,,http://www.indeed.com/viewjob?jk=bbe8836cb6be59b7&qd=kzI5tJZPkWJqoVrEwKNhYuUf1GyoJ5epwGPvrXv9tcK5ycJRMJ608P5iRe5vKKfYnX3Mn_d1sQUGgEd6p8l1qWEnnUflm_82WtmzPAYIa9s&indpubnum=8836246992678581&atk=1c3qf0rje18fp05d
46,Phoenix,HomeLight,US,"Fri, 27 Oct 2017 20:26:23 GMT",False,"Phoenix, AZ","Phoenix, AZ",30+ days ago,True,49f52e2a2e20b390,Senior Software Engineer,en,"indeed_clk(this,'5803');","Ruby, <b>Python</b>, Java, Javascript, Go. HomeLight is changing the face of real estate one homeowner at a time....",HomeLight,False,AZ,,http://www.indeed.com/viewjob?jk=49f52e2a2e20b390&qd=kzI5tJZPkWJqoVrEwKNhYuUf1GyoJ5epwGPvrXv9tcK5ycJRMJ608P5iRe5vKKfYnX3Mn_d1sQUGgEd6p8l1qWEnnUflm_82WtmzPAYIa9s&indpubnum=8836246992678581&atk=1c3qf0rje18fp05d
47,Scottsdale,"JDA Software Group, Inc.",US,"Fri, 29 Dec 2017 06:34:12 GMT",False,"Scottsdale, AZ","Scottsdale, AZ",16 days ago,False,a2fc5e90804645db,Software Developer - Full Stack,en,"indeed_clk(this,'5803');","Experience with Java, <b>Python</b> and knowledge of its ecosystems, libraries. JDA Software is the leading supply chain provider powering today’s digital...","JDA Software Group, Inc.",False,AZ,,http://www.indeed.com/viewjob?jk=a2fc5e90804645db&qd=kzI5tJZPkWJqoVrEwKNhYuUf1GyoJ5epwGPvrXv9tcK5ycJRMJ608P5iRe5vKKfYnX3Mn_d1sQUGgEd6p8l1qWEnnUflm_82WtmzPAYIa9s&indpubnum=8836246992678581&atk=1c3qf0rje18fp05d
48,Tempe,GoDaddy,US,"Fri, 17 Nov 2017 00:02:24 GMT",False,"Tempe, AZ","Tempe, AZ",30+ days ago,False,1de9d25b0ef951f0,Software Development Engineer - Search,en,"indeed_clk(this,'5803');",Strong experience in <b>Python</b> and/or Java. GoDaddy is looking for excited engineers who have a passion for problem solving....,GoDaddy,False,AZ,,http://www.indeed.com/viewjob?jk=1de9d25b0ef951f0&qd=kzI5tJZPkWJqoVrEwKNhYuUf1GyoJ5epwGPvrXv9tcK5ycJRMJ608P5iRe5vKKfYnX3Mn_d1sQUGgEd6p8l1qWEnnUflm_82WtmzPAYIa9s&indpubnum=8836246992678581&atk=1c3qf0rje18fp05d
